score,label
0.663004408996215,g
0.642042726102365,g
0.79241634731941,g
0.796605303201759,g
0.807080498319086,g
0.882393254064969,g
0.762898954014354,g
0.54247723192287,g
0.712329254514907,g
0.679118455052608,g
0.672138636947425,g
0.449537889802178,g
0.782982718226413,g
0.638148364410705,g
0.651956026774726,g
0.689218895454089,g
0.713411598308141,g
0.619963924714789,g
0.705713722455963,g
0.714228527702631,g
0.808733156607577,g
0.686651127906582,g
0.81999004852897,g
0.806067383253069,g
0.70308775855051,g
0.767085990516448,g
0.756132614496453,g
0.666371662907716,g
0.756172822832388,g
0.85839115828318,g
0.608240976004788,g
0.795922615936135,g
0.736015471695912,g
0.764334642715834,g
0.709711653793293,g
0.49737766767006,g
0.554864825151238,g
0.653893160824087,g
0.912697580527623,g
0.668767659221589,g
0.742891604180795,g
0.872124320899136,g
0.787504382641226,g
0.606213740571374,g
0.728288968891245,g
0.570532741577959,g
0.514222679609774,g
0.668012011964221,g
0.58491346062795,g
0.632435291331134,g
0.846063416253052,g
0.75183068771937,g
0.881990945515855,g
0.541208098880276,g
0.756021932669774,g
0.680796328954608,g
0.604272187802192,g
0.945723021154679,g
0.688685947408405,g
0.74863849283225,g
0.706007032984662,g
0.773920081052586,g
0.673218071595676,g
0.740026297543433,g
0.632997971874226,g
0.645167412652901,g
0.830501956508874,g
0.948740816142479,g
0.708635036588784,g
0.534142863821094,g
0.894954213314533,g
0.688402328564314,g
0.834155616383548,g
0.746527622288963,g
0.713333237082068,g
0.711539553848524,g
0.666960650448853,g
0.672167829017348,g
0.671450437645079,g
0.746355224140326,g
0.567416256709904,g
0.609625665424178,g
0.719120811209931,g
0.723729949674845,g
0.447488157885648,g
0.616826081837595,g
0.662242499359699,g
0.728331026388553,g
0.777181753765304,g
0.601606239977873,g
0.737352362842276,g
0.606705851000435,g
0.773199048197726,g
0.668927435716212,g
0.754912582534496,g
0.722628856334233,g
0.666361095850182,g
1.00246843544542,g
0.571082623921292,g
0.599498596595361,g
0.531428922114187,g
0.910542790107837,g
0.845294285289678,g
0.696516969169545,g
0.778013139061864,g
0.769142826864345,g
0.593839829620768,g
0.797902307112663,g
0.738606676151957,g
0.59994016070886,g
0.774081979086682,g
0.64483202630246,g
0.727914078087917,g
0.607591330767691,g
0.603740920468568,g
0.718375904222468,g
0.585650538687531,g
0.591727978725142,g
0.62532668370335,g
0.812413989201134,g
0.629146675988032,g
0.729557216216877,g
0.487871899716699,g
0.600156523898162,g
0.728840142940983,g
0.708779224015172,g
0.846960889423496,g
0.60787027583396,g
0.642398348061777,g
0.82948071909952,g
0.707200120239012,g
0.582681183768074,g
0.827532274017405,g
0.865524125947653,g
0.874949158188249,g
0.661650325728093,g
0.793758243922259,g
0.64323425883652,g
0.675372042164656,g
0.847460219669423,g
0.654842451259933,g
0.728852849500972,g
0.826797151085927,g
0.819701197177902,g
0.75023848716684,g
0.757036219008913,g
0.757159742830831,g
0.852145308499503,g
0.752064505709116,g
0.723969381672402,g
0.715996363965665,g
0.559174595974625,g
0.49692897930349,g
0.891847981826379,g
0.617952055124031,g
0.632671909356138,g
0.701892998745047,g
0.634021529157285,g
0.673437205878611,g
0.717033098756207,g
0.849529765496102,g
0.595515822912808,g
0.765968010827555,g
0.851858462170416,g
0.632923758331419,g
0.796084053299545,g
0.890018300782984,g
0.734032384223603,g
0.768780800729991,g
0.772635206135113,g
0.681023417795809,g
0.819882638592674,g
0.703833261779282,g
0.673854610100983,g
0.657929387529483,g
0.63885196056443,g
0.630658978981132,g
0.779167262717277,g
0.53238946569387,g
0.781926930214462,g
0.84104022112841,g
0.534112446618854,g
0.612661413825033,g
0.669192294384829,g
0.726148767465546,g
0.687675952184292,g
0.852839879064192,g
0.741265731405124,g
0.516395817173559,g
0.665562097575156,g
0.61284452496972,g
0.667756666694275,g
0.620037283459825,g
0.751187335254425,g
0.792051854022567,g
0.642829192217266,g
0.767260362328992,g
0.596724457493716,g
0.647204221046592,g
0.766358006691475,g
0.607982382833172,g
0.771614770361498,g
0.851960514157114,g
0.733837338571268,g
0.713725385657882,g
0.852571898095936,g
0.700914115447643,g
0.782916257546318,g
0.589631627132407,g
0.577307348243402,g
0.706086195138752,g
0.665228505776376,g
0.862534831057099,g
0.768337453188451,g
0.763807842466008,g
0.84694594937097,g
0.773591191420309,g
0.711307235738515,g
0.742623348484761,g
0.786186487979961,g
0.673288828435637,g
0.665381301025249,g
0.69793488139494,g
0.72391280643408,g
0.732551648191848,g
0.771242174196124,g
0.732661333191209,g
0.778863091513088,g
0.733808818011942,g
0.667175561969746,g
